1116,3.32,71.6,238,0.024,0.077
1123,3.316,90.2,298.8,0.024,0.078
1132,3.312,71.9,238,0.024,0.079
1141,3.316,71.8,238,0.024,0.079
1148,3.32,70.9,235.2,0.024,0.08
1157,3.316,71.5,237.2,0.024,0.08
1166,3.32,71.8,238.4,0.025,0.081
1173,3.316,71.6,237.2,0.025,0.082
1182,3.32,71.6,238,0.025,0.082
1190,3.316,71.8,238,0.025,0.083
1199,3.316,71.7,238,0.025,0.083
1208,3.316,71.6,237.2,0.025,0.084
1216,3.316,71.6,237.2,0.026,0.084
1225,3.316,71.8,238,0.026,0.085
1232,3.32,72,239.2,0.026,0.086
1241,3.32,71.8,238.4,0.026,0.086
1249,3.316,72.7,241.2,0.026,0.087
1257,3.316,72.7,241.2,0.026,0.087
1266,3.316,72.5,240.4,0.027,0.088
1274,2.856,84.6,242,0.027,0.088
1283,3.316,75.4,250.4,0.027,0.089
1292,3.312,71.6,237.2,0.027,0.09
1299,3.316,71.7,238,0.027,0.09
1308,3.32,71.7,238,0.028,0.091
1317,3.324,71.4,237.2,0.028,0.091
1324,3.324,71.7,238.4,0.028,0.092
1333,3.32,72,239.2,0.028,0.092
1342,3.316,71.5,237.2,0.028,0.093
1350,3.316,72,238.4,0.028,0.094
1358,3.316,71.7,238,0.029,0.094
1366,3.32,71.5,237.2,0.029,0.095
1375,3.324,71.5,238,0.029,0.095
1383,3.308,71.7,237.2,0.029,0.096
1392,3.316,71.8,238,0.029,0.096
1401,3.316,71.7,238,0.029,0.097
1408,3.32,71.6,238,0.03,0.098
1417,3.316,71.5,237.2,0.03,0.098
1425,3.316,71.9,238.4,0.03,0.099
1434,3.316,90.2,298.8,0.03,0.099
1442,3.312,71.9,238,0.03,0.1
1450,3.32,71.5,237.2,0.031,0.101
1459,3.316,71.9,238.4,0.031,0.101
1467,3.32,71.9,238.4,0.031,0.102
1475,3.32,71.5,237.2,0.031,0.102
1484,3.32,71.5,237.2,0.031,0.103
1493,3.316,72.4,240,0.031,0.103
1500,3.324,71.9,239.2,0.032,0.104
1509,3.312,71.8,238,0.032,0.105
1518,3.32,71.8,238.4,0.032,0.105
1525,3.32,71.5,237.2,0.032,0.106
1534,3.316,71.6,237.2,0.032,0.106
1543,3.316,72.2,239.2,0.032,0.107
1550,3.316,71.8,238,0.033,0.107
1559,3.32,71.6,238,0.033,0.108
1568,3.32,71.6,238,0.033,0.108
1575,3.316,71.6,237.2,0.033,0.109
1584,3.316,90.8,300.8,0.033,0.11
1593,3.316,71.9,238.4,0.033,0.11
1601,3.312,72.3,239.2,0.034,0.111
1610,3.312,72.1,238.4,0.034,0.111
1618,3.316,71.6,237.2,0.034,0.112
1627,3.312,72,238.4,0.034,0.113
1635,3.316,72.2,239.2,0.034,0.113
1643,3.316,71.7,238,0.034,0.114
1651,3.316,71.7,238,0.035,0.114
1660,3.312,71.7,237.2,0.035,0.115
1669,3.32,71.8,238.4,0.035,0.115
1676,3.312,71.8,238,0.035,0.116
1685,3.316,71.8,238,0.035,0.117
1694,3.324,71,236,0.036,0.117
1701,3.32,71.6,238,0.036,0.118
1710,3.32,71.5,237.2,0.036,0.118
1719,3.316,71.7,238,0.036,0.119
1727,3.324,71.6,238,0.036,0.119
1735,3.324,90.1,299.6,0.036,0.12
1744,3.32,71.7,238,0.037,0.121
1752,3.32,72.1,239.2,0.037,0.121
1760,3.32,71.7,238,0.037,0.122
1769,3.32,71.9,238.4,0.037,0.122
1777,3.32,72,239.2,0.037,0.123
1785,3.32,71.7,238,0.037,0.124
1794,3.32,71.7,238,0.038,0.124
1802,3.32,72,239.2,0.038,0.125
1811,3.316,71.7,238,0.038,0.125
1820,3.32,71.7,238,0.038,0.126
1827,3.32,72.1,239.2,0.038,0.126
1836,3.32,71.6,238,0.038,0.127
1845,3.32,71.5,237.2,0.039,0.128
1852,3.316,72.1,239.2,0.039,0.128
1861,3.324,71.8,238.4,0.039,0.129
1870,3.316,72.1,239.2,0.039,0.129
1877,3.316,72,238.4,0.039,0.13
1886,3.312,98.9,327.6,0.04,0.131
1895,3.312,72.7,240.4,0.04,0.131
1902,3.316,72.9,242,0.04,0.132
1911,3.32,72.6,241.2,0.04,0.132
1919,3.316,72.7,241.2,0.04,0.133
1928,3.316,73,242,0.04,0.133
1936,3.316,72.6,240.4,0.041,0.134
1945,3.32,72.2,240,0.041,0.135
1953,3.316,72.9,242,0.041,0.135
1961,3.32,72.5,240.4,0.041,0.136
1970,3.316,72.9,242,0.041,0.136
1978,3.316,72,238.4,0.041,0.137
1986,3.316,72.6,240.4,0.042,0.138
1995,3.32,72.2,240,0.042,0.138
2003,3.316,72.6,240.4,0.042,0.139
2012,3.316,71.7,238,0.042,0.139
2021,3.316,71.6,237.2,0.042,0.14
2028,3.316,71.7,238,0.043,0.14
2037,3.312,98.4,325.6,0.043,0.141
2046,3.32,71.8,238.4,0.043,0.142
2053,3.32,72.2,240,0.043,0.142
2062,3.32,71.6,238,0.043,0.143
2071,3.316,72,238.4,0.043,0.143
2078,3.316,70.7,234.8,0.044,0.144
2087,3.32,72.1,239.2,0.044,0.145
2096,3.32,71.8,238.4,0.044,0.145
2104,3.32,72.2,240,0.044,0.146
2113,3.316,71.7,238,0.044,0.146
2120,3.324,71.8,238.4,0.044,0.147
2129,3.328,71.9,239.2,0.045,0.147
2138,3.32,71.7,238,0.045,0.148
2145,3.316,71.7,238,0.045,0.149
2154,3.316,72.2,239.2,0.045,0.149
2163,3.316,71.8,238,0.045,0.15
2170,3.316,71.8,238,0.045,0.15
2180,3.32,71.9,238.4,0.046,0.151
2188,3.316,90.2,298.8,0.046,0.152
2196,3.316,80.5,266.8,0.046,0.152
2205,3.316,71.8,238,0.046,0.153
2213,3.32,71.9,238.4,0.046,0.153
2222,3.32,71.6,238,0.047,0.154
2230,3.316,71.7,238,0.047,0.154
2239,3.316,71.9,238.4,0.047,0.155
2246,3.32,71.7,238,0.047,0.156
2255,3.32,72,239.2,0.047,0.156
2264,3.316,71.8,238,0.047,0.157
2271,3.312,71.7,237.2,0.048,0.157
2280,3.324,70.9,236,0.048,0.158
2289,3.32,71.8,238.4,0.048,0.158
2296,3.32,71.7,238,0.048,0.159
2305,3.32,71.8,238.4,0.048,0.16
2313,3.32,71.8,238.4,0.048,0.16
2322,3.32,71.6,238,0.049,0.161
2330,3.32,71.7,238,0.049,0.161
2338,3.32,90,298.8,0.049,0.162
2347,3.32,72.5,240.4,0.049,0.163
2356,3.32,72.5,240.4,0.049,0.163
2363,3.316,71.7,238,0.05,0.164
2372,3.324,72.1,240,0.05,0.164
2381,3.32,72.1,239.2,0.05,0.165
2389,3.316,71.9,238.4,0.05,0.165
2397,3.316,72.1,239.2,0.05,0.166
2406,3.316,72.4,240,0.05,0.167
2413,3.32,72.6,241.2,0.051,0.167
2422,3.32,72.3,240,0.051,0.168
2431,3.312,72.2,239.2,0.051,0.168
2439,3.316,72.2,239.2,0.051,0.169
2447,3.316,72.3,240,0.051,0.169
2456,3.32,72.4,240.4,0.051,0.17
2464,3.32,71.8,238.4,0.052,0.171
2472,3.32,71.9,238.4,0.052,0.171
2481,3.316,71.8,238,0.052,0.172
2490,3.312,89.7,296.8,0.052,0.172
2497,3.32,71.9,238.4,0.052,0.173
2506,3.32,72,239.2,0.053,0.174
2514,3.32,72,239.2,0.053,0.174
2523,3.32,72.2,240,0.053,0.175
2531,3.312,72.3,239.2,0.053,0.175
2540,3.32,72.1,239.2,0.053,0.176
2548,3.32,71.8,238.4,0.053,0.176
2556,3.316,72.3,240,0.054,0.177
2565,3.32,72.2,240,0.054,0.178
2574,3.324,71.9,239.2,0.054,0.178
2581,3.316,72,238.4,0.054,0.179
2590,3.324,72,239.2,0.054,0.179
2599,3.32,72.1,239.2,0.054,0.18
2606,3.32,71.9,238.4,0.055,0.18
2615,3.32,71.8,238.4,0.055,0.181
2623,3.32,71.7,238,0.055,0.182
2632,3.32,71.7,238,0.055,0.182
2641,3.32,71.9,238.4,0.055,0.183
2648,3.32,87.6,290.8,0.055,0.183
2657,3.32,130.3,432.4,0.056,0.184
2666,3.148,163.3,514,0.056,0.186
2673,3.316,124,410.8,0.056,0.187
2682,3.308,153.8,508.4,0.057,0.188
2691,2.868,88.3,252.8,0.057,0.188
2699,3.312,83.1,275.2,0.057,0.189
2707,2.868,290.9,834.4,0.058,0.191
2716,3.36,186,625.2,0.058,0.193
2724,3.32,73.6,244.4,0.059,0.193
2732,3.32,71.9,238.4,0.059,0.194
2741,3.32,71.8,238.4,0.059,0.194
2750,3.316,71.7,238,0.059,0.195
2757,3.32,71.8,238.4,0.059,0.195
2766,3.316,72.2,239.2,0.059,0.196
2775,3.32,71.7,238,0.06,0.197
2782,3.32,71.6,238,0.06,0.197
2791,3.328,71.1,236.4,0.06,0.198
2800,3.32,71.4,237.2,0.06,0.198
2808,3.32,71.8,238.4,0.06,0.199
2816,3.316,71.8,238,0.06,0.199
2824,3.32,71.9,238.4,0.061,0.2
2833,3.316,71.8,238,0.061,0.201
